timeperiod,source,target,value
15,1141225465241145344,bend_neglect,11
15,1141225465241145344,bend_dismay,19
15,1141225465241145344,bend_distort,1
15,1141225465241145344,bend_dismiss,13
15,1141225465241145344,bend_distract,8
15,1322442481825312768,bend_back,51
15,1322442481825312768,bend_build,24
15,1322442481825312768,bend_bridge,26
15,1322442481825312768,bend_boost,27
15,1322442481825312768,bend_excite,1
15,1322442481825312768,bend_explain,51
15,1322442481825312768,bend_engage,51
15,1322442481825312768,bend_enhance,24
15,1322442481825312768,bend_neglect,25
15,1322442481825312768,bend_dismay,51
15,1322442481825312768,bend_distort,24
16,1334134288531374082,bend_back,1
16,1334134288531374082,bend_build,1
16,1334134288531374082,bend_bridge,1
16,1334134288531374082,bend_explain,1
16,1334134288531374082,bend_engage,1
16,1334134288531374082,bend_enhance,1
16,1334134288531374082,bend_dismiss,1
16,1313128625680592896,bend_back,3
16,1313128625680592896,bend_explain,3
16,1313128625680592896,bend_enhance,3
16,1313128625680592896,bend_narrow,3
16,1141225465241145344,bend_back,23
16,1141225465241145344,bend_build,12
16,1141225465241145344,bend_bridge,2
16,1141225465241145344,bend_excite,9
16,1141225465241145344,bend_explain,12
16,1141225465241145344,bend_engage,24
16,1141225465241145344,bend_enhance,23
16,1141225465241145344,bend_negate,1
16,1141225465241145344,bend_neutralize,1
16,1141225465241145344,bend_neglect,12
16,1141225465241145344,bend_dismay,22
16,1141225465241145344,bend_distort,1
16,1141225465241145344,bend_dismiss,14
16,1141225465241145344,bend_distract,10
16,1322442481825312768,bend_back,52
16,1322442481825312768,bend_build,24
16,1322442481825312768,bend_bridge,27
16,1322442481825312768,bend_boost,28
16,1322442481825312768,bend_excite,1
16,1322442481825312768,bend_explain,52
16,1322442481825312768,bend_engage,52
16,1322442481825312768,bend_enhance,24
16,1322442481825312768,bend_neglect,25
16,1322442481825312768,bend_dismay,52
16,1322442481825312768,bend_distort,24
17,1334134288531374082,bend_back,1
17,1334134288531374082,bend_build,1
17,1334134288531374082,bend_bridge,1
17,1334134288531374082,bend_explain,1
17,1334134288531374082,bend_engage,1
17,1334134288531374082,bend_enhance,1
17,1334134288531374082,bend_dismiss,1
17,1313128625680592896,bend_back,3
17,1313128625680592896,bend_explain,3
17,1313128625680592896,bend_enhance,3
17,1313128625680592896,bend_narrow,3
17,1141225465241145344,bend_back,27
17,1141225465241145344,bend_build,14
17,1141225465241145344,bend_bridge,4
17,1141225465241145344,bend_excite,11
17,1141225465241145344,bend_explain,16
17,1141225465241145344,bend_engage,29
17,1141225465241145344,bend_enhance,27
17,1141225465241145344,bend_negate,2
17,1141225465241145344,bend_neutralize,1
17,1141225465241145344,bend_neglect,14
17,1141225465241145344,bend_dismay,25
17,1141225465241145344,bend_distort,2
17,1141225465241145344,bend_dismiss,16
17,1141225465241145344,bend_distract,12
17,1322442481825312768,bend_back,54
17,1322442481825312768,bend_build,25
17,1322442481825312768,bend_bridge,28
17,1322442481825312768,bend_boost,29
17,1322442481825312768,bend_excite,1
17,1322442481825312768,bend_explain,54
17,1322442481825312768,bend_engage,54
17,1322442481825312768,bend_enhance,25
17,1322442481825312768,bend_neglect,26
17,1322442481825312768,bend_dismay,54
17,1322442481825312768,bend_distort,25
18,1334134288531374082,bend_back,1
18,1334134288531374082,bend_build,1
18,1334134288531374082,bend_bridge,1
18,1334134288531374082,bend_explain,1
18,1334134288531374082,bend_engage,1
18,1334134288531374082,bend_enhance,1
18,1334134288531374082,bend_dismiss,1
18,1313128625680592896,bend_back,3
18,1313128625680592896,bend_explain,3
18,1313128625680592896,bend_enhance,3
18,1313128625680592896,bend_narrow,3
18,1141225465241145344,bend_back,29
18,1141225465241145344,bend_build,18
18,1141225465241145344,bend_bridge,6
18,1141225465241145344,bend_excite,13
18,1141225465241145344,bend_explain,17
18,1141225465241145344,bend_engage,32
18,1141225465241145344,bend_enhance,29
18,1141225465241145344,bend_negate,3
18,1141225465241145344,bend_neutralize,1
18,1141225465241145344,bend_neglect,17
18,1141225465241145344,bend_dismay,26
18,1141225465241145344,bend_distort,3
18,1141225465241145344,bend_dismiss,19
18,1141225465241145344,bend_distract,13
18,1322442481825312768,bend_back,54
18,1322442481825312768,bend_build,25
18,1322442481825312768,bend_bridge,28
18,1322442481825312768,bend_boost,29
18,1322442481825312768,bend_excite,1
18,1322442481825312768,bend_explain,54
18,1322442481825312768,bend_engage,54
18,1322442481825312768,bend_enhance,25
18,1322442481825312768,bend_neglect,26
18,1322442481825312768,bend_dismay,54
